# date  vel  err  filename 
7215.809430   -2.88 38.33 hs2220a_01.fits
7215.844982   91.19 43.57 hs2220a_02.fits
7215.881524   35.10 23.89 hs2220a_03.fits
7215.893608   44.53 18.77 hs2220a_04.fits
7215.904940   54.62 29.40 hs2220a_05.fits
7224.874746   75.66 16.14 hs2220a_06.fits
7224.884538   29.13 23.31 hs2220a_07.fits
7224.894666   65.04 18.79 hs2220a_08.fits
7224.904447   58.17 16.21 hs2220a_09.fits
7224.914251   35.31 31.39 hs2220a_10.fits
7309.743814   96.45 19.90 hs2220a_14.fits
7309.753594   53.04 19.24 hs2220a_15.fits
7309.763269   27.13 18.13 hs2220a_16.fits
7309.772945   47.82 27.02 hs2220a_17.fits
7309.782608   62.32 17.15 hs2220a_18.fits
7311.672594   91.83 42.84 hs2220a_19.fits
7311.682386   21.82 25.23 hs2220a_20.fits
7311.692616   96.19 27.80 hs2220a_21.fits
7311.702685   95.54 37.49 hs2220a_22.fits
7311.712673   32.47 32.37 hs2220a_23.fits
