ra dec u g r i z 
7.32801805 16.21823722 20.545568 20.03834 19.928381 19.885117 19.949507 
7.35321078 13.79061464 20.271105 20.134209 20.374662 20.650497 21.004641 
7.35676017 0.26465106 18.908213 18.47559 18.530437 18.653337 18.79064 
7.41698222 15.15613768 20.548126 20.076836 20.234718 20.426456 21.37104 
7.42700914 -11.17038539 18.834299 18.334545 18.34326 18.405354 18.551277 
7.50014065 -0.46081873 20.144297 19.728386 19.754898 19.866308 19.859209 
7.72697129 -9.45636625 18.137432 18.141981 18.497168 18.790419 19.150587 
7.84284305 8.15565852 19.385832 19.761452 20.302206 20.610636 20.8752 
7.89438998 -0.35152664 19.133778 18.920839 19.21203 19.429508 19.756868 
7.97472238 0.23884447 19.773523 19.595661 19.942982 20.263731 20.73196 
8.00983198 15.94358182 18.331108 18.354465 18.604601 18.871983 19.228399 
8.04997858 0.81197138 18.744473 19.001095 19.47958 19.752083 20.129044 
8.12691137 -17.88975791 16.825867 16.466923 16.701468 16.891739 17.124405 
8.13362331 15.52407201 20.148899 19.767496 19.951044 20.144487 20.178249 
8.138334 8.45383586 20.327684 19.88983 19.882978 20.021584 19.955101 
8.17945083 14.34329576 20.164335 20.23811 20.540415 20.865486 20.761738 
8.27587036 15.60764971 20.065208 20.218092 20.614447 20.870646 21.312222 
8.39347765 8.49301371 21.095182 20.617039 20.464523 20.54151 20.490932 
8.41282073 15.42584254 20.702063 20.303202 20.428869 20.575918 20.680548 
8.48684644 6.40028562 16.686806 16.720865 17.081223 17.369255 17.64604 
8.6018863 15.03123813 20.524006 19.997663 20.04269 20.133259 20.300911 
8.60395398 6.95452596 20.864313 20.348143 20.403917 20.400558 20.472219 
8.60467637 1.06662304 19.943806 19.672478 19.933474 20.19017 20.47113 
8.61219805 15.30049136 17.568823 16.979713 16.800228 16.737165 16.788876 
8.68901682 15.41576463 19.490797 19.728901 20.135321 20.428303 21.08427 
8.7355371 -10.48763116 19.287455 18.923424 18.940239 19.092434 19.236643 
8.77609871 7.60462002 19.445646 19.305874 19.586662 19.874777 19.958134 
8.78446744 13.84592825 16.423178 16.373289 16.836309 17.106981 17.410799 
8.79847577 0.19732234 16.888699 16.470173 16.523603 16.582432 16.764475 
8.80098843 13.99839778 20.750566 20.33408 20.405144 20.546774 20.818295 
8.80315665 0.62725804 19.562649 19.956976 20.369411 20.665558 20.925262 
8.99605987 1.16154021 19.843571 19.392517 19.431524 19.588249 19.776598 
9.00758268 14.80969616 19.562569 19.436422 19.688456 19.952833 20.285088 
9.11523865 24.58521795 20.512918 20.155518 20.116985 20.189739 20.137398 
9.15009239 25.22176796 20.790043 20.096113 19.800503 19.640821 19.611534 
9.17337533 24.36806594 18.122782 17.738159 17.660238 17.687504 17.777538 
9.18069164 25.68494612 18.129242 18.033705 18.375845 18.70322 18.935331 
9.209433 24.53071061 20.567303 20.364622 20.697727 21.13673 21.675159 
9.21007047 8.43872193 19.928349 19.469044 19.304567 19.25345 19.251835 
9.24319245 15.06441034 19.635111 19.463823 19.731144 19.981543 20.407194 
9.29620273 25.66239507 19.869602 19.662077 19.969046 20.190475 20.069576 
9.32969732 0.52750379 17.856035 17.483774 17.538708 17.644888 17.850697 
9.35558667 15.45902263 19.403891 18.995409 18.97002 18.995829 19.165606 
9.37742502 -0.28274481 20.496494 19.965834 19.956438 20.03019 20.04878 
9.40843348 -0.87765721 18.831142 18.785543 19.056255 19.336353 19.611681 
9.48563054 24.36294458 19.150558 18.899708 19.089493 19.349424 19.644598 
9.50496311 15.47716421 17.517187 17.539816 17.896286 18.190121 18.562235 
9.54788066 -0.77501124 19.791571 19.503624 19.699316 19.958738 20.184006 
9.55641518 -0.02468051 19.31554 18.922966 19.018394 19.31106 19.618633 
9.69081837 7.18730734 19.651741 19.785234 20.166286 20.50535 20.786484 
9.72152088 -0.49073475 19.008772 18.612354 18.549833 18.623566 18.579796 
9.72595825 15.93831268 19.392376 19.36495 19.689846 19.929253 20.013355 
9.75349129 15.83583436 18.940123 18.635822 18.866686 19.060438 19.270731 
9.77652809 25.10034958 20.596682 20.315254 20.618832 20.764696 21.210361 
9.77713462 24.00389056 20.301386 19.940123 20.151394 20.310827 20.618692 
9.78711502 23.95725803 20.272196 19.847225 19.729052 19.69442 19.76825 
9.84511013 14.97213511 20.59721 20.134279 20.034966 20.192564 20.566925 
9.84601634 0.59297603 19.536247 19.087208 19.101765 19.19903 19.15769 
9.95116102 -9.10537152 19.339602 18.811392 18.798609 18.830261 18.991978 
9.95403791 14.70680774 19.664089 19.325283 19.369213 19.445313 19.784719 
9.99358392 25.16043937 18.861696 18.613117 18.896906 19.169044 19.559359 
10.0059448 0.98579155 19.947002 19.412642 19.204956 19.156288 19.1516 
10.01746515 16.18044549 20.301205 19.943539 20.015831 20.232162 20.132877 
10.06849807 14.92936645 21.190184 20.691788 20.790392 21.250092 21.696302 
10.08559099 24.90922223 19.661896 19.200903 19.316685 19.453787 19.666517 
10.09257873 -1.05213031 19.04501 18.795258 19.032408 19.329033 19.432787 
10.0953492 -0.35835756 15.214645 14.745267 14.945707 15.111936 15.272394 
10.19632268 24.32821821 20.117514 20.033873 20.297028 20.477491 20.63768 
10.21406123 14.72641468 20.299622 19.872654 20.04398 20.243738 20.292099 
10.22802758 25.99103499 20.491282 20.29389 20.628899 20.801067 21.237169 
10.22836618 23.84575166 17.814125 18.16926 18.634796 18.951954 19.346504 
10.25825158 15.99353412 18.951059 18.989836 19.250475 19.588181 19.737743 
10.25890911 7.49414 20.42351 20.109823 20.336803 20.545359 20.963701 
10.26298363 14.38017593 17.463282 17.409536 17.810902 18.124414 18.436218 
10.27290144 6.69786099 19.023142 18.604708 18.631441 18.712847 18.900629 
10.281455 0.06460952 20.381559 19.880749 19.867849 19.961891 19.997065 
10.34993269 7.13866268 19.749014 20.026464 20.402775 20.814903 21.252964 
10.4502306 -0.85762932 20.279579 20.080719 20.291115 20.408957 20.65963 
10.50350894 14.46785691 20.393028 19.924807 20.173628 20.381323 20.677578 
10.62604654 -10.25539942 19.268158 18.752668 18.967775 19.20682 19.288441 
10.66111003 -10.4425218 18.174732 18.341951 18.733208 19.038822 19.32683 
10.67482825 24.47886789 19.667515 19.412546 19.630676 19.871599 20.208588 
10.72599533 24.43396793 20.345613 19.982727 19.956934 19.905874 20.003176 
10.72808191 -9.18564604 18.403664 18.318121 18.716413 18.998552 19.309507 
10.80850683 -0.91262666 18.471977 18.536638 18.885334 19.170208 19.383259 
10.82299098 24.4007152 19.907272 19.659847 19.936108 20.144037 20.388432 
10.90009404 24.70722524 20.000504 19.731041 19.972 20.228214 20.297834 
10.90281099 14.04281862 19.587349 19.252972 19.433828 19.630453 19.754234 
10.94079118 0.93054839 19.183928 18.719248 18.82897 19.020443 19.27235 
10.94314151 25.81956012 18.708345 18.335485 18.607706 18.829617 19.114836 
11.03272844 -0.80928483 20.154032 19.841518 20.068338 20.285416 20.517054 
11.06297814 25.70988543 18.062941 17.747435 17.987984 18.256918 18.525606 
11.09820445 24.39143901 19.487295 19.543243 19.948032 20.229694 20.487204 
11.11519627 13.65999648 19.692156 19.236408 19.197132 19.241117 19.382708 
11.1226197 -0.86474476 19.40543 18.937571 19.175159 19.395449 19.495667 
11.12292891 -0.30131603 19.6479 19.786366 20.023493 20.318003 20.723825 
11.13560867 25.92706553 19.531189 19.108816 19.295061 19.607746 19.732653 
11.25995161 14.47470264 20.23942 19.984119 20.173918 20.354776 20.118483 
11.34014297 25.95123287 20.552994 20.106003 20.396431 20.664902 20.808685 
11.37030938 0.77123148 19.333429 19.258591 19.568775 19.830269 20.165873 
11.40609067 1.11673566 18.760057 19.081074 19.512629 19.839989 20.163258 
11.41751082 -0.40466809 19.560556 19.069986 19.073366 19.148142 19.401339 
11.42816086 25.93230615 20.546083 20.388712 20.561672 20.69845 20.601297 
11.45102109 0.08552774 19.707771 19.229141 19.303205 19.400944 19.564255 
11.49178658 14.91386192 18.864466 18.327532 18.064161 18.008451 18.000429 
11.5431826 13.652877 18.456486 18.051086 18.172188 18.288395 18.571272 
11.54904907 -0.12831445 19.457973 18.985315 19.236879 19.49052 19.730494 
11.66852298 0.67090781 19.651972 19.30414 19.547417 19.724838 19.952183 
11.6956226 -0.61984877 19.834595 19.419176 19.44046 19.514473 19.691576 
11.70273808 25.15421279 18.585032 18.280313 18.556717 18.799658 19.182135 
11.92106008 0.7004884 19.078239 18.862421 19.124546 19.35499 19.468369 
11.96658347 -0.26980513 20.021471 19.658211 19.710032 19.893362 19.782598 
12.0332527 14.67098349 21.009996 20.526934 20.643515 20.772375 20.992094 
12.08034527 16.06625298 20.464972 20.132889 20.30736 20.647177 20.881676 
12.08156285 -0.34708642 19.328753 18.927584 18.94565 19.076378 19.33029 
12.13671332 -0.06145104 20.101236 19.973003 20.273771 20.56929 20.864252 
12.20880777 -0.35982995 19.444067 19.248079 19.495554 19.697937 19.795303 
12.22986591 15.36354473 19.089867 18.688124 18.790512 18.961826 19.230072 
12.31737101 -9.773502 19.319811 18.829575 18.610933 18.607817 18.666414 
12.38707475 0.88601897 20.584459 20.093006 20.028849 19.976294 20.100733 
12.42832339 14.88122174 19.597191 19.648979 19.985332 20.22566 20.675306 
12.51669004 15.03491896 20.336063 20.489958 20.884245 21.097088 20.811272 
12.54910295 13.93684416 19.09259 19.470928 19.858534 19.97051 20.020552 
12.55637725 -0.02510714 18.77297 18.64443 18.909803 19.233814 19.564802 
12.58281207 0.99054189 20.429274 20.063158 19.946804 19.982355 20.419449 
12.69836395 -0.38804081 19.067839 18.77553 18.882059 19.039425 19.420536 
12.72251965 -0.05522821 20.239267 19.842918 20.047174 20.175016 20.228371 
12.75912338 13.82413455 20.332417 20.225044 20.394762 20.761389 21.506388 
12.93896188 15.64065994 19.127115 18.748398 18.801292 18.873434 19.118399 
12.98687396 1.01448564 18.823349 18.340656 18.426355 18.54245 18.682262 
13.35693834 -0.97094629 19.549885 19.145206 19.299646 19.538137 19.968515 
13.45281312 14.20806813 19.15584 18.741194 18.955925 19.098066 19.334658 
13.61015307 15.29645829 19.212658 18.864906 19.090069 19.327471 19.554535 
13.65021387 -0.82832516 18.931021 18.52076 18.352877 18.338211 18.384172 
13.66184995 -9.87219325 17.194801 16.840994 16.751001 16.819021 16.933964 
13.79390004 1.14400118 18.811014 19.012438 19.446812 19.559725 20.056776 
13.94708216 0.06632583 18.555298 18.244005 18.554094 18.76428 19.10944 
13.94910327 -8.7520089 15.53291 15.875648 16.260937 16.580006 16.861778 
13.98560324 -9.59618146 18.143984 18.196589 18.475552 18.751749 19.118574 
14.00876027 -0.37893546 20.154812 20.163908 20.427462 20.840578 21.412601 
14.0479398 0.96579218 20.101603 19.646046 19.624582 19.663853 19.811972 
14.08438248 14.12066484 18.938467 18.495113 18.676733 18.841269 19.086632 
14.26555195 15.17071357 19.405682 18.840994 18.892584 18.944759 19.136757 
14.37204603 -0.89672665 18.350122 17.769312 17.521149 17.443834 17.485182 
14.67696777 -0.94920655 19.234171 18.74823 18.962866 19.132454 19.494186 
14.97929283 -0.57750614 20.423491 20.06843 20.02285 20.081274 20.259306 
15.0861985 13.91359387 17.843714 17.986624 18.3715 18.634487 18.938219 
15.35570163 0.3469406 19.304785 18.874256 19.040913 19.22286 19.361702 
15.53020977 -0.54993776 18.493986 18.175257 18.237181 18.367395 18.613842 
15.62758889 -0.79536286 19.385807 18.916948 19.031752 19.221947 19.455889 
15.75879621 -9.10038582 18.735758 18.61529 18.948481 19.281166 19.526937 
15.81943677 0.14991969 19.161217 18.602333 18.363703 18.261497 18.280817 
15.84246138 -0.34659514 18.640959 19.09263 19.524414 19.914639 20.216314 
16.06664286 14.81596379 18.871735 18.832453 19.107111 19.353214 19.596262 
16.37619099 0.66943752 16.967319 17.414759 17.914738 18.277765 18.597303 
16.42972863 -9.34852966 17.678278 17.241285 17.165207 17.199226 17.276413 
16.49499845 0.34865963 19.551287 19.382589 19.696817 19.936174 20.456972 
16.51237796 0.78806351 18.608246 18.188726 18.163652 18.221609 18.333036 
16.58309701 0.35346394 19.965523 19.604853 19.748878 19.94208 20.002388 
16.73916177 -10.00093117 19.915257 19.765425 20.078951 20.413219 20.743097 
17.06859926 -0.30367776 18.576309 18.220272 18.446997 18.735107 18.882692 
17.13575298 15.64789076 19.825394 19.66095 19.878763 20.164083 20.245953 
17.20064882 15.25555496 16.755301 16.567514 16.884876 17.137871 17.41703 
17.39634746 -10.31929863 20.866791 20.381927 20.318773 20.393152 20.49301 
17.4458177 -9.12838247 17.47419 17.849657 18.318069 18.635225 18.995218 
17.45830899 15.92884326 21.796558 20.718426 20.755699 20.753422 20.423269 
17.48479123 -9.57547614 20.685694 20.47156 20.81477 20.966877 20.805504 
17.48590905 15.6380856 20.131407 19.877815 19.902082 20.071468 20.468699 
17.48884246 15.40772855 20.794397 20.352741 20.339724 20.295946 20.253801 
17.68050439 16.91408323 20.36705 20.203735 20.544361 20.879826 20.9939 
17.69841447 14.94720019 20.423143 20.389769 20.728537 21.024786 21.646162 
17.70161726 14.27664487 18.931709 18.564432 18.556362 18.59697 18.74548 
17.72944407 14.65620828 17.279585 16.911341 16.973757 17.033373 17.156569 
17.73047547 -10.33667944 17.781712 17.350925 17.509323 17.688597 18.239893 
17.73570463 -0.94008649 18.878384 18.708706 18.979595 19.236345 19.540894 
17.7357705 14.58294616 18.14872 17.753944 18.031008 18.230944 18.462912 
17.75265732 0.30198696 19.108109 18.768436 18.955114 19.10187 19.367254 
17.77062546 15.69589581 20.577517 20.246988 20.467442 20.648489 21.007353 
17.81072287 26.32182757 20.46356 20.184408 20.32165 20.545853 20.630278 
17.86298155 25.45026126 18.028978 18.04052 18.367434 18.652229 18.941235 
18.04258949 16.47561229 19.626244 19.77043 20.119242 20.44327 20.689009 
18.06591079 -10.43365437 20.733776 20.431723 20.657854 20.752705 20.949265 
18.11467873 -8.96075049 19.134552 19.203859 19.481104 19.749577 19.984213 
18.11636309 -0.07644657 20.978798 20.531494 20.573511 20.677999 21.126942 
18.13555686 16.77297081 20.536808 19.900051 19.948181 20.069359 20.24309 
18.16735896 15.94052361 19.812963 19.345993 19.26874 19.307121 19.314558 
18.22334159 -0.09662742 19.652239 19.639341 19.896952 20.222336 20.46649 
18.24315921 -0.99789418 18.930555 18.702377 18.968767 19.255976 19.45438 
18.24356924 16.7352806 19.490156 19.020979 19.163723 19.295782 19.4907 
18.26126393 -10.10441648 19.117655 18.767519 18.953415 19.212427 19.211317 
18.28736537 24.94071894 19.736078 19.488909 19.782589 20.028652 20.035604 
18.28752163 15.76907361 19.659502 19.236374 19.292904 19.330313 19.440575 
18.30384453 26.62572084 20.472595 20.046209 20.224354 20.439651 20.93367 
18.4430623 -9.01363654 19.667097 19.467051 19.742176 20.048393 20.055664 
18.44439095 -10.61648469 20.247171 20.08663 20.332649 20.708748 21.023962 
18.45625269 15.91293589 20.098141 19.757719 19.99539 20.198214 20.478872 
18.48924905 24.80101125 20.583574 20.255455 20.435556 20.727915 20.657495 
18.57236608 -9.32628342 18.109768 17.713219 17.893612 18.100161 18.39782 
18.57456671 -1.03009569 19.201242 18.742495 18.985628 19.181204 19.404819 
18.71154697 26.13089268 18.076307 17.901567 18.145445 18.395519 18.655951 
18.71591302 -9.19397598 19.358103 19.26708 19.515368 19.830692 20.18351 
