V10  56446.750  11.049   0.043  56446.750  10.947   0.015
V10  56446.801  11.046   0.044  56446.805  10.950   0.015
V11                             56446.230  11.242   0.023
V11                             56446.293  11.008   0.022
V11                             56446.340  10.984   0.021
V11                             56446.398  10.982   0.017
V11                             56446.441  10.982   0.019
V11                             56446.496  11.002   0.021
V11                             56446.551  11.037   0.017
V11                             56446.605  11.077   0.025
V11                             56446.656  11.154   0.024
V11                             56446.707  11.232   0.021
V11                             56446.750  11.189   0.017
V11                             56446.805  10.994   0.016
V12  56446.227  11.210   0.059  56446.227  11.110   0.028
V12  56446.293  11.274   0.058  56446.293  11.181   0.018
V12  56446.340  11.339   0.037  56446.340  11.240   0.016
V12  56446.398  11.422   0.023  56446.398  11.350   0.017
V12  56446.441  11.148   0.041  56446.441  11.047   0.018
V12  56446.496  11.135   0.058  56446.496  11.036   0.025
V12  56446.547  11.142   0.052  56446.547  11.045   0.022
V12  56446.602  11.168   0.079  56446.602  11.062   0.025
V12  56446.656  11.210   0.058  56446.656  11.100   0.022
V12  56446.707  11.256   0.040  56446.703  11.147   0.014
V12  56446.750  11.331   0.119  56446.750  11.177   0.024
V12  56446.805  11.398   0.131  56446.805  11.268   0.028
V14  56446.230  11.283   0.037  56446.230  11.216   0.020
V14  56446.293  11.429   0.019  56446.293  11.320   0.055
V14  56446.344  11.167   0.081  56446.344  11.045   0.060
V14  56446.398  11.120   0.029  56446.398  11.015   0.036
V14  56446.441  11.116   0.013  56446.441  11.021   0.031
V14  56446.500  11.128          56446.496  11.039   0.020
V14  56446.551  11.161   0.017  56446.551  11.062   0.034
V14  56446.605  11.210   0.042  56446.605  11.122   0.018
V14  56446.660  11.248   0.033  56446.656  11.176   0.018
V14  56446.707  11.302   0.022  56446.707  11.217   0.029
V14  56446.754  11.458   0.112  56446.750  11.319   0.013
V14  56446.805  11.194   0.028  56446.805  11.079   0.021
V15  56446.227  11.380   0.042
V15  56446.293  11.147   0.026
V15  56446.340  11.154   0.027
V15  56446.398  11.167   0.038
V15  56446.441  11.191   0.035
V15  56446.496  11.231   0.036
V15  56446.547  11.275   0.023
V15  56446.602  11.361   0.039
V15  56446.656  11.445   0.041
V15  56446.707  11.147   0.025
V15  56446.750  11.147   0.040
V15  56446.805  11.153   0.037
V16  56446.227  10.954   0.035  56446.230  10.881   0.022
V16  56446.289  11.016   0.030  56446.293  10.933   0.009
V16  56446.340  11.100   0.033  56446.340  11.022   0.007
V16  56446.395  11.090   0.042  56446.398  10.975   0.014
V16  56446.438  10.944   0.033  56446.441  10.854   0.014
V16  56446.492  10.898   0.026  56446.496  10.817   0.017
V16  56446.547  10.877   0.029  56446.551  10.787   0.010
V16  56446.602  10.867   0.030  56446.605  10.783   0.017
V16  56446.652  10.879   0.023  56446.656  10.800   0.021
V16  56446.703  10.904   0.025  56446.707  10.813   0.010
V16  56446.750  10.927   0.035  56446.750  10.860   0.024
V16  56446.801  10.974   0.029  56446.805  10.900   0.024
V18  56446.230  10.989   0.023  56446.230  10.850   0.041
V18  56446.293  10.975   0.042  56446.293  10.863   0.042
V18  56446.340  11.004   0.041  56446.344  10.891   0.044
V18  56446.398  11.043   0.052  56446.398  10.921   0.033
V18  56446.441  11.075   0.058  56446.441  10.959   0.035
V18  56446.496  11.133   0.055  56446.496  11.005   0.037
V18  56446.551  11.230   0.050  56446.551  11.108   0.042
V18  56446.605  11.048   0.051  56446.605  10.925   0.039
V18  56446.656  10.976   0.046  56446.656  10.852   0.037
V18  56446.707  10.975   0.048  56446.707  10.853   0.042
V18  56446.754  10.956   0.029  56446.754  10.851   0.037
V18  56446.805  10.978   0.027  56446.805  10.857   0.040
V19  56446.227  11.103   0.050
V19  56446.293  11.084   0.033
V19  56446.340  11.086   0.024
V19  56446.398  11.113   0.036
V19  56446.441  11.143   0.040
V19  56446.496  11.198   0.037
V19  56446.547  11.252   0.028
V19  56446.602  11.349   0.035
V19  56446.656  11.219   0.048
V19  56446.703  11.081   0.024
V19  56446.750  11.095   0.045
V19  56446.805  11.096   0.042
V20  56446.230  11.043   0.116  56446.230  10.957   0.111
V20  56446.297  10.970   0.114  56446.293  10.915   0.090
V20  56446.344  10.953   0.103  56446.344  10.920   0.096
V20  56446.398  10.980   0.100  56446.398  10.946   0.128
V20  56446.445  11.056   0.097  56446.441  10.953   0.106
V20  56446.500  11.051   0.093  56446.496  10.941   0.086
V20  56446.551  11.054   0.098  56446.551  10.936   0.101
V20  56446.605  10.960   0.140  56446.605  10.884   0.093
V20  56446.660  11.011   0.084  56446.656  10.879   0.095
V20  56446.707  11.048   0.080  56446.707  10.943   0.107
V20  56446.754  11.001   0.101  56446.750  10.948   0.127
V20  56446.805  11.094   0.116  56446.805  10.978   0.145
V21  56446.230  10.910   0.039  56446.230  10.839   0.043
V21  56446.293  10.976   0.059  56446.293  10.929   0.055
V21  56446.344  10.768   0.052  56446.344  10.699   0.047
V21  56446.398  10.759   0.041  56446.398  10.686   0.049
V21  56446.441  10.757   0.044  56446.441  10.692   0.041
V21  56446.496  10.765   0.039  56446.496  10.698   0.039
V21  56446.551  10.774   0.050  56446.551  10.717   0.049
V21  56446.605  10.822   0.039  56446.605  10.752   0.043
V21  56446.660  10.862   0.045  56446.656  10.797   0.045
V21  56446.707  10.886   0.061  56446.707  10.840   0.050
V21  56446.754  10.967   0.048  56446.750  10.916   0.057
V21  56446.805  10.793   0.060  56446.805  10.761   0.044
V22  56446.230  10.962   0.065  56446.230  10.851   0.030
V22  56446.293  10.966   0.057  56446.293  10.888   0.023
V22  56446.344  10.924   0.050  56446.344  10.845   0.021
V22  56446.398  10.858   0.042  56446.398  10.773   0.023
V22  56446.441  10.828   0.045  56446.441  10.744   0.024
V22  56446.496  10.805   0.033  56446.496  10.719   0.027
V22  56446.551  10.788   0.053  56446.551  10.707   0.022
V22  56446.605  10.794   0.042  56446.605  10.707   0.025
V22  56446.660  10.812   0.038  56446.656  10.722   0.029
